番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
239,utthallia-,utthállia-,上に挙げられた,100.000%,4,4,0,ucchallita-,,
240,uddantura-,uddantúra-,出っ歯の,100.000%,3,3,0,uddantura-,,
241,uddālaṇa-,uddā́laṇa-,奪い取ること,100.000%,3,3,0,uddālana-,,
242,uddāla-,uddā́la-,奪い取る,100.000%,4,4,0,,,
243,uddālia-,uddā́lia-,奪い取られた,66.667%,2,3,1,,,
244,uddesa-,uddésa-,標的,66.667%,2,3,1,uddeśa-,,
245,uddharia-,uddhária-,上に上げられた,100.000%,2,2,0,uddhārita-,,
246,uddhāia-,uddhā́ia-,上がった,100.000%,8,8,0,,,
247,uddhūsia-,uddhū́sia-,毛を逆立てた,100.000%,3,3,0,uddhūṣita-,,
248,uppajja-,uppajjá-,生ずる,75.000%,3,4,0,utpadya-,,
249,uppajjivi,uppájjivi / uppajjívi,生じてから,50.000%,1,2,,,,
250,uppaṇṇa-,uppáṇṇa-,生じた,82.353%,14,17,3,utpanna-,,
251,uppari,uppári,上に,83.333%,5,6,1,upári,,
252,uppāia-,uppā́ia-,生じた,100.000%,4,4,0,utpādita-,,
253,uppāivi,uppā́ivi,生じさせてから,100.000%,3,3,0,,,
254,uppāḍa-,uppā́ḍa-,根こそぎにする,100.000%,2,2,0,utpātaya-,,
255,ubbhaṅgura-,ubbhaṅgúra- / ubbhaṅgurá-,ウドバングラ,50.000%,1,2,,udbhaṅgura-,,
256,ummāha-,ummā́ha-,震え,100.000%,2,2,0,unmātha-,,
257,uratthala-,uratthála-,胸板の厚い,100.000%,7,7,0,,,
258,ura-,úra-,胸,80.000%,4,5,1,úras-,,
259,ula-,úla-,系統,100.000%,3,3,0,kúla-,,
260,uvaāra-,uvaā́ra-,利益,100.000%,2,2,0,upakāra-,,
261,uvaāria-,uvaā́ria-,助けるような,100.000%,2,2,0,upakārin-,,
262,uvamijja-,uvamíjja-,比較する,75.000%,3,4,1,,,
263,uvalakkhia-,uvalákkhia-,印づけられた,100.000%,3,3,0,upalakṣita-,,
264,uvaladdha-,uvaladdhá-,得られた,100.000%,3,3,0,upalabdha-,,
265,uvavaṇa-,uvaváṇa-,遊園,100.000%,6,6,0,upavana-,,
266,uvasaṅghara-,uvasaṅghára-,まとめる,100.000%,2,2,0,upasaṃhara-,,
267,uvasamia-,uvasamía-,鎮められた,66.667%,2,3,0,,,
268,uvahiraa-,uvahiráa-,ウダディラヴァ,100.000%,2,2,0,,,
269,uvahi-,uváhi-,大海,100.000%,3,3,0,upadhí-,,
270,uvvaaṇa-,uvváaṇa-,顔を上にして,100.000%,2,2,0,*udvadana-,,
271,uvvara-,uvvára-,逃れる,100.000%,2,2,0,,,
272,uvvahanta-,uvvahánta-,上げている,100.000%,2,2,0,udvahant-,,
273,uvvaha-,uvváha- / uvvahá-,上げる,50.000%,1,2,,udvaha-,,
274,ūṇa-,ū́ṇa-,少ない,100.000%,2,2,0,ūná-,,
275,ūsāsa-,ūsā́sa-,ため息,100.000%,3,3,0,ucchvāsá-,,
276,eahu,éahu,この者の,100.000%,2,2,0,,,
277,ea,éa,これ,100.000%,3,3,0,,,
278,ekāntara-,ekkantára-,一つ足りない,100.000%,2,2,0,ekāntara-,,
279,ekkanta-,ekkánta- / ekkantá-,一角,50.000%,1,2,,ekānta-,,
280,ekkamekka-,ekkamekká-,一つずつ,100.000%,2,2,0,,,
281,ekkalla-,ekkallá-,一人きりの,75.000%,3,4,0,,,
282,ekka-,ékka- / ekká-,一つ,50.000%,4,8,,éka-,,
283,ekkāsaṇa-,ekkāsáṇa-,一つの座,100.000%,2,2,0,,,
284,ekkoara-,ekkóara- / ekkoára-,同母兄弟,50.000%,1,2,,,,
285,eṇa,éṇa,これによって,100.000%,4,4,0,,,
286,ettaḍaa-,éttaḍaa- / ettaḍáa-,そのような,50.000%,1,2,,etavant-,,
287,ettantara-,etthántara-,この中で,100.000%,4,4,0,,,
288,etthu,étthu,ここで,100.000%,6,6,0,átra,,
289,enta-,énta- / entá-,行きつつある,50.000%,4,8,,yánt-,,
290,ema,éma,そのように,56.250%,9,16,7,evám,,
291,eva,éva,このように,85.714%,12,14,2,evám,,
292,evi,évi,来てから,100.000%,2,2,0,,,
293,ehu,éhu,これ,87.500%,7,8,1,,,
294,ehau,éhau,これ,100.000%,3,3,0,eṣá,,
295,e-,é-,来る,100.000%,4,4,0,ai-,,
296,aia-,áia-,過ぎた,80.000%,4,5,1,atīta-,,
297,airāvaa-,airā́vaa-,アイラーヴァタ,60.000%,3,5,2,airāvata-,,
298,airāvaṇa-,airā́vaṇa- / airāváṇa-,アイラーヴァナ,50.000%,1,2,,airāvaṇa-,,
299,omucchia-,omúcchia-,口髭を得た,100.000%,2,2,0,,,
300,orālia-,orā́lia-,轟音を立てた,100.000%,3,3,0,,,
301,orālivi,orā́livi,轟音を立てて,100.000%,2,2,0,,,
302,olagga-,olágga-,取り付く,100.000%,8,8,0,,,
303,olaggia-,olággia-,取り付けられた,66.667%,2,3,0,avalagita-,,
304,ovaḍa-,ovaḍá-,飛び降りる,100.000%,2,2,0,avapata-,,
305,ovaḍia-,ovaḍía-,落ちてしまった,75.000%,3,4,0,avapatita-,,
306,osara-,osára-,遠ざかる,100.000%,3,3,0,,,
307,osarivi,osárivi,遠ざかって,100.000%,4,4,0,,,
308,osāraṇa-,osā́raṇa-,遠ざけること,100.000%,3,3,0,avasāraṇa-,,
309,osāria-,osā́ria-,遠くさせられた,100.000%,3,3,0,avasārita-,,
310,ohara-,ohára-,語義不明,66.667%,2,3,0,,,
311,kaanta-,kaánta-,終わりをもたらす者,100.000%,5,5,0,kṛtānta-,,
312,kaa-,káa-,なされた,100.000%,8,8,0,kṛtá-,,
313,kaṅkaṇa-,kaṅkáṇa-,腕輪,100.000%,2,2,0,kaṅkaṇa-,,
314,kaṅkha-,kaṅkhá-,望む,100.000%,2,2,0,kāṅkṣa-,,
315,kaṅkha-,káṅkha- / kaṅkhá-,望み,50.000%,1,2,,kāṅkṣā-,,
316,kajjala-,kajjála-,煤黒,100.000%,2,2,0,kajjala-,,
317,kajja-,kájja-,仕事,96.000%,24,25,1,kāryà-,,
318,kañcaṇaraha-,káñcaṇaraha- / kañcaṇarahá-,カーンチャナラタ,50.000%,1,2,,,,
319,kañjaa-,káñjaa- / kañjáa-,蓮華,50.000%,1,2,,kaṃja-,,
320,kaṭṭha-,káṭṭha- / kaṭṭhá-,破片,50.000%,1,2,,kāṣṭhá-,,
321,kaḍakkhaṇa-,kaḍákkhaṇa-,横目で見ること,100.000%,2,2,0,,,
322,kaḍakkhia-,kaḍákkhia-,横目で見られた,100.000%,2,2,0,kaṭākṣita-,,
323,kaḍamaddaṇa-,kaḍamaddaṇa-,破滅,69.231%,9,13,0,,,
324,kaḍiala-,kaḍiála-,腰の部位,100.000%,4,4,0,kaṭitala-,,
325,kaḍisutta-,kaḍisútta-,腰帯,87.500%,7,8,0,kaṭisūtra-,,
326,kaṇaamālā-,kaṇaámālā- / kaṇaamā́lā-,カナカマーラー,50.000%,1,2,,kanakamālā-,,
327,kaṇaa-,káṇaa-,カナカ,100.000%,3,3,0,kanaka-,,
328,kaṇiṭṭha-,kaṇíṭṭha-,小さい,75.000%,3,4,1,kániṣṭa- / kaniṣṭá-,,
329,kaṇṭaa-,kaṇṭáa-,とげ,50.000%,2,4,1,káṇṭaka-,,
330,kaṇṭāla-,kaṇṭā́la-,大釜,100.000%,2,2,0,,,
331,kaṇṭhāharaṇa-,kaṇṭhāháraṇa- / kaṇṭhāharáṇa-,首飾り,50.000%,1,2,,kaṇṭhābharaṇa-,,
332,kaṇṭhia-,kaṇṭhía-,接触,100.000%,2,2,0,,,
333,kaṇṇa-,káṇṇa-,耳,66.667%,4,6,2,kárṇa-,,
334,kaṇṇāria-,kaṇṇā́ria-,煽られた,100.000%,2,2,0,,,
335,kaṇṇā-,káṇṇā-,乙女,85.714%,12,14,2,kanyā̀-,,
336,kaddama-,kaddamá-,泥,100.000%,2,2,0,kardama-,,
337,kanta-,kánta-,夫,66.667%,6,9,3,kānta-,,
338,kantā-,kántā- / kantā́-,妻,50.000%,1,2,,kāntā-,,
339,kandanta-,kandánta- / kandantá-,泣きつつある,50.000%,2,4,0,krándant-,,
